
12.01.2000 11:53:28 Обработано -   7 записей 12.01.2000 11:53:42
12.01.2000 12:47:29 Обработано -   1 записей 12.01.2000 12:47:41
12.01.2000 14:05:33 Обработано -  20 записей 12.01.2000 14:05:52
12.01.2000 16:47:32 Обработано -   1 записей 12.01.2000 16:47:45
12.01.2000 17:05:33 Обработано -   3 записей 12.01.2000 17:05:47
12.01.2000 17:11:42 Обработано -   1 записей 12.01.2000 17:11:55
12.01.2000 18:11:42 Обработано -  24 записей 12.01.2000 18:12:07
12.01.2000 19:30:22 Обработано -   1 записей 12.01.2000 19:30:53
12.01.2000 19:37:22 Обработано -   1 записей 12.01.2000 19:37:37
13.01.2000 09:45:31 Обработано -   4 записей 13.01.2000 09:45:48
13.01.2000 10:53:04 Обработано -   7 записей 13.01.2000 10:53:20
13.01.2000 11:14:56 Обработано -   4 записей 13.01.2000 11:15:10
13.01.2000 11:56:55 Обработано -   1 записей 13.01.2000 11:57:08
13.01.2000 14:27:05 Обработано -  11 записей 13.01.2000 14:27:22
13.01.2000 16:04:56 Обработано -   2 записей 13.01.2000 16:05:10
13.01.2000 16:56:58 Обработано -  33 записей 13.01.2000 16:57:21
13.01.2000 17:29:01 Обработано -   1 записей 13.01.2000 17:29:15
13.01.2000 17:50:58 Обработано -   1 записей 13.01.2000 17:51:13
13.01.2000 18:31:05 Обработано -   1 записей 13.01.2000 18:31:21
13.01.2000 18:51:12 Обработано -  19 записей 13.01.2000 18:51:34
14.01.2000 10:02:59 Обработано -   3 записей 14.01.2000 10:03:16
14.01.2000 12:35:01 Обработано -   2 записей 14.01.2000 12:35:15
14.01.2000 12:59:09 Обработано -   1 записей 14.01.2000 12:59:22
14.01.2000 13:25:03 Обработано -   4 записей 14.01.2000 13:25:19
14.01.2000 15:36:58 Обработано -   2 записей 14.01.2000 15:37:12
14.01.2000 17:23:13 Обработано -  36 записей 14.01.2000 17:23:39
14.01.2000 17:37:03 Обработано -   1 записей 14.01.2000 17:37:18
14.01.2000 18:03:02 Обработано -  14 записей 14.01.2000 18:03:22
14.01.2000 18:06:55 Обработано -   2 записей 14.01.2000 18:07:08
14.01.2000 18:13:15 Обработано -   2 записей 14.01.2000 18:13:36
14.01.2000 18:57:04 Обработано -  14 записей 14.01.2000 18:57:21
15.01.2000 14:33:12 Обработано -   3 записей 15.01.2000 14:33:30
15.01.2000 15:35:13 Обработано -   5 записей 15.01.2000 15:35:30
16.01.2000 08:19:14 Обработано -   3 записей 16.01.2000 08:19:31
16.01.2000 08:45:06 Обработано -   4 записей 16.01.2000 08:45:21
17.01.2000 08:55:07 Обработано -   3 записей 17.01.2000 08:55:22
17.01.2000 10:19:56 Обработано -   1 записей 17.01.2000 10:20:07
17.01.2000 10:51:26 Обработано -   3 записей 17.01.2000 10:51:44
17.01.2000 11:31:06 Обработано -   1 записей 17.01.2000 11:31:17
17.01.2000 12:29:08 Обработано -   2 записей 17.01.2000 12:29:19
17.01.2000 13:25:07 Обработано -  25 записей 17.01.2000 13:25:35
17.01.2000 14:11:06 Обработано -   1 записей 17.01.2000 14:11:21
17.01.2000 15:21:16 Обработано -   1 записей 17.01.2000 15:21:30
17.01.2000 17:19:04 Обработано -   1 записей 17.01.2000 17:19:14
17.01.2000 18:21:20 Обработано -  24 записей 17.01.2000 18:21:52
17.01.2000 19:15:18 Обработано -   9 записей 17.01.2000 19:15:36
18.01.2000 09:59:19 Обработано -   2 записей 18.01.2000 09:59:34
18.01.2000 11:31:25 Обработано -  11 записей 18.01.2000 11:31:45
18.01.2000 11:51:19 Обработано -   2 записей 18.01.2000 11:51:33
18.01.2000 14:03:15 Обработано -  15 записей 18.01.2000 14:03:33
18.01.2000 17:29:18 Обработано -  13 записей 18.01.2000 17:29:38
18.01.2000 18:03:12 Обработано -   4 записей 18.01.2000 18:03:28
18.01.2000 18:47:11 Обработано -   9 записей 18.01.2000 18:47:31
19.01.2000 09:43:20 Обработано -   3 записей 19.01.2000 09:43:36
19.01.2000 10:07:14 Обработано -   1 записей 19.01.2000 10:07:28
19.01.2000 12:53:13 Обработано -   3 записей 19.01.2000 12:53:26
19.01.2000 13:33:15 Обработано -  19 записей 19.01.2000 13:33:32
19.01.2000 14:15:10 Обработано -   2 записей 19.01.2000 14:15:25
19.01.2000 16:31:34 Обработано -   1 записей 19.01.2000 16:31:53
19.01.2000 18:21:27 Обработано -  36 записей 19.01.2000 18:22:10
19.01.2000 18:45:15 Обработано -   3 записей 19.01.2000 18:45:35
20.01.2000 09:37:20 Обработано -   3 записей 20.01.2000 09:37:40
20.01.2000 10:33:16 Обработано -   1 записей 20.01.2000 10:33:32
20.01.2000 12:37:16 Обработано -   5 записей 20.01.2000 12:37:30
20.01.2000 13:27:16 Обработано -   1 записей 20.01.2000 13:27:29
20.01.2000 14:31:24 Обработано -  25 записей 20.01.2000 14:31:45
20.01.2000 14:53:23 Обработано -   1 записей 20.01.2000 14:53:36
20.01.2000 15:31:22 Обработано -   3 записей 20.01.2000 15:31:38
20.01.2000 15:53:16 Обработано -   1 записей 20.01.2000 15:53:36
20.01.2000 16:17:47 Обработано -   1 записей 20.01.2000 16:18:02
20.01.2000 17:41:21 Обработано -  29 записей 20.01.2000 17:41:45
20.01.2000 19:13:19 Обработано -  34 записей 20.01.2000 19:13:52
20.01.2000 20:19:21 Обработано -  23 записей 20.01.2000 20:19:48
20.01.2000 20:53:19 Обработано -  45 записей 20.01.2000 20:53:51
21.01.2000 09:51:21 Обработано -   1 записей 21.01.2000 09:51:44
21.01.2000 11:13:26 Обработано -   5 записей 21.01.2000 11:13:46
21.01.2000 13:19:28 Обработано -  24 записей 21.01.2000 13:19:58
21.01.2000 15:39:30 Обработано -   2 записей 21.01.2000 15:39:51
21.01.2000 15:57:30 Обработано -   1 записей 21.01.2000 15:57:52
21.01.2000 18:13:34 Обработано -  85 записей 21.01.2000 18:14:45
21.01.2000 19:13:2721.01.2000 19:13:39
22.01.2000 12:59:30 Обработано -   5 записей 22.01.2000 13:00:01
22.01.2000 13:51:29 Обработано -   9 записей 22.01.2000 13:51:59
22.01.2000 15:15:24 Обработано -   6 записей 22.01.2000 15:15:49
24.01.2000 11:39:36 Обработано -  16 записей 24.01.2000 11:40:13
24.01.2000 13:51:34 Обработано -  27 записей 24.01.2000 13:52:07
24.01.2000 15:55:24 Обработано -   2 записей 24.01.2000 15:55:44
24.01.2000 16:33:32 Обработано -   1 записей 24.01.2000 16:33:52
24.01.2000 16:51:34 Обработано -  15 записей 24.01.2000 16:52:03
24.01.2000 17:21:31 Обработано -   1 записей 24.01.2000 17:21:52
24.01.2000 17:39:29 Обработано -   2 записей 24.01.2000 17:39:51
24.01.2000 17:49:38 Обработано -   2 записей 24.01.2000 17:50:00
24.01.2000 19:18:47 Обработано -  29 записей 24.01.2000 19:19:13
25.01.2000 08:37:30 Обработано -   2 записей 25.01.2000 08:37:52
25.01.2000 10:47:34 Обработано -   3 записей 25.01.2000 10:47:54
25.01.2000 11:43:27 Обработано -   4 записей 25.01.2000 11:43:50
25.01.2000 14:11:39 Обработано -  11 записей 25.01.2000 14:11:59
25.01.2000 16:59:35 Обработано -   1 записей 25.01.2000 16:59:58
25.01.2000 18:15:41 Обработано -  28 записей 25.01.2000 18:16:28
25.01.2000 18:25:48 Обработано -   2 записей 25.01.2000 18:26:12
25.01.2000 19:13:37 Обработано -   5 записей 25.01.2000 19:14:00
26.01.2000 10:25:27 Обработано -   1 записей 26.01.2000 10:25:48
26.01.2000 10:45:47 Обработано -   3 записей 26.01.2000 10:46:17
26.01.2000 12:09:28 Обработано -   1 записей 26.01.2000 12:09:46
26.01.2000 13:31:36 Обработано -  10 записей 26.01.2000 13:32:01
26.01.2000 16:53:52 Обработано -   4 записей 26.01.2000 16:54:24
26.01.2000 18:51:39 Обработано -  67 записей 26.01.2000 18:52:23
26.01.2000 19:11:35 Обработано -  16 записей 26.01.2000 19:12:04
26.01.2000 20:31:32 Обработано -   3 записей 26.01.2000 20:32:01
27.01.2000 09:19:29 Обработано -   2 записей 27.01.2000 09:19:48
27.01.2000 13:53:38 Обработано -  16 записей 27.01.2000 13:54:00
27.01.2000 15:43:43 Обработано -   1 записей 27.01.2000 15:44:05
27.01.2000 15:47:31 Обработано -   1 записей 27.01.2000 15:47:49
27.01.2000 16:53:33 Обработано -  26 записей 27.01.2000 16:54:09
27.01.2000 17:45:39 Обработано -   1 записей 27.01.2000 17:46:04
27.01.2000 18:43:35 Обработано -   2 записей 27.01.2000 18:43:59
27.01.2000 18:53:43 Обработано -   1 записей 27.01.2000 18:54:03
27.01.2000 19:11:43 Обработано -  35 записей 27.01.2000 19:12:21
28.01.2000 09:03:38 Обработано -   2 записей 28.01.2000 09:04:00
28.01.2000 10:45:33 Обработано -   1 записей 28.01.2000 10:45:50
28.01.2000 12:55:32 Обработано -   1 записей 28.01.2000 12:55:50
28.01.2000 13:07:35 Обработано -  15 записей 28.01.2000 13:07:57
28.01.2000 15:25:33 Обработано -   2 записей 28.01.2000 15:25:50
28.01.2000 16:41:34 Обработано -   2 записей 28.01.2000 16:41:53
28.01.2000 18:29:43 Обработано -  17 записей 28.01.2000 18:30:12
28.01.2000 19:10:06 Обработано -  20 записей 28.01.2000 19:10:39
28.01.2000 19:12:22 Обработано -  20 записей 28.01.2000 19:12:42
28.01.2000 19:27:43 Обработано -   1 записей 28.01.2000 19:28:02
29.01.2000 14:41:41 Обработано -  12 записей 29.01.2000 14:42:08
29.01.2000 15:03:51 Обработано -   5 записей 29.01.2000 15:04:16
29.01.2000 15:11:49 Обработано -   1 записей 29.01.2000 15:12:10
30.01.2000 13:49:51 Обработано -   2 записей 30.01.2000 13:50:11
31.01.2000 09:51:50 Обработано -   1 записей 31.01.2000 09:52:06
31.01.2000 10:35:42 Обработано -   3 записей 31.01.2000 10:36:03
31.01.2000 11:07:41 Обработано -   2 записей 31.01.2000 11:07:57
31.01.2000 12:29:45 Обработано -   9 записей 31.01.2000 12:30:04
31.01.2000 13:31:41 Обработано -  15 записей 31.01.2000 13:32:06
31.01.2000 15:43:55 Обработано -   1 записей 31.01.2000 15:44:08
31.01.2000 16:53:41 Обработано -  47 записей 31.01.2000 16:54:14
31.01.2000 18:09:46 Обработано -   5 записей 31.01.2000 18:10:05
31.01.2000 18:18:09 Обработано -   1 записей 31.01.2000 18:18:25
31.01.2000 19:13:53 Обработано -  84 записей 31.01.2000 19:14:39
31.01.2000 19:41:55 Обработано -  24 записей 31.01.2000 19:42:27
01.02.2000 11:05:57 Обработано -   1 записей 01.02.2000 11:06:17
01.02.2000 11:39:51 Обработано -   2 записей 01.02.2000 11:40:06
01.02.2000 12:51:46 Обработано -  46 записей 01.02.2000 12:52:24
01.02.2000 12:59:58 Обработано -   2 записей 01.02.2000 13:00:21
01.02.2000 14:07:49 Обработано -  13 записей 01.02.2000 14:08:16
01.02.2000 14:21:57 Обработано -   4 записей 01.02.2000 14:22:26
01.02.2000 17:13:46 Обработано -   4 записей 01.02.2000 17:14:07
01.02.2000 17:39:43 Обработано -  24 записей 01.02.2000 17:40:19
01.02.2000 19:19:52 Обработано -   1 записей 01.02.2000 19:20:20
01.02.2000 19:23:54 Обработано -   1 записей 01.02.2000 19:24:14
02.02.2000 10:07:57 Обработано -   4 записей 02.02.2000 10:08:22
02.02.2000 10:37:51 Обработано -   2 записей 02.02.2000 10:38:10
02.02.2000 12:13:47 Обработано -   8 записей 02.02.2000 12:14:07
02.02.2000 12:57:45 Обработано -   1 записей 02.02.2000 12:58:05
